userid,contentid,rating
8,t2CocUeqmyM,2.0
8,YGRN2phyM-Q,2.0
8,HdefB3zbyQE,2.0
8,zQjvGFV8cBk,2.0
8,MWrPAZHDHtw,2.0
8,s7FKIfMxdys,2.0
8,jBf5HZcChlU,2.0
8,7Q4danQA5Gg,2.0
8,1uAe9Zn84QA,2.0
8,IMfyIl2RcOE,2.0
8,YuxBxhxQpXE,2.0
8,vDR-ZwZri8U,2.0
1,VdroB1sBuuA,2.0
1,bovZ86zh2cw,2.0
1,pMA3Vp4Sagc,2.0
1,D-1LZooTUgw,2.0
3,1T1pVZvzjG8,2.0
3,aiBqJuzJ3Lc,2.0
37,cQVyuhTEVww,2.0
37,xbcRE9iUXTY,2.0
37,fsZieUBP5u8,2.0
37,26RgdEmAG70,2.0
37,612DG-5d3DE,2.0
37,nC-IiBCLs1Q,2.0
7,mEL114R8rR8,2.0
38,jsChlX4fjVM,2.0
39,V00qDnKn_3A,2.0
39,1T1pVZvzjG8,2.0
39,EZ71ouvIlcM,2.0
40,2OsSegpsPQo,2.0
40,5bqWcO3uPzE,2.0
40,k06xM5M9F5M,2.0
40,m5JRB3yN9cY,2.0
40,msBA33SWQuA,2.0
40,yKsb0SSFtEg,2.0
42,K_pJ22uLfl4,2.0
46,d1ZWiCduLJg,2.0
46,KS80U3CeuOA,2.0
46,n_lH_IbU_Zw,2.0
46,k06xM5M9F5M,2.0
47,_fvTrRkDBec,2.0
47,akZWeEK47sI,2.0
41,hs_S1QsoOBw,2.0
49,vZfBpKLgRjc,2.0
53,RCJsbsRWYlI,2.0
53,bOJqaJ-KXyM,2.0
53,m-R50XH2OyI,2.0
54,k6RDAfF02-U,2.0
54,PVQXyq17fL0,2.0
54,6NQl7QYevP0,2.0
62,gVU1S_j3_Tk,2.0
62,u6OvV0XYiOA,2.0
62,GQEmS7upf5c,2.0
62,KPK-gRrhOrE,2.0
62,kuoPUZ5qiBs,2.0
68,8h73em8wnlI,2.0
68,kuoPUZ5qiBs,2.0
68,D3sgu-18kFY,2.0
68,iiRqDcGvD4M,2.0
68,3sKZqgiivOo,2.0
68,Y0gWcELU9rQ,2.0
68,9r2aBTU8bsE,2.0
68,zSL5SSmpWKc,2.0
68,3BdOvWK_Rws,2.0
68,HzjGF8Tlrn0,2.0
68,6NeUlQV2cCY,2.0
68,LDoUnjtzoaY,2.0
68,V4y5xd3PlQ8,2.0
68,aqAkDeoMQO0,2.0
68,nXfg4J8m3rs,2.0
68,fQ0vosOcaOA,2.0
68,B4UxaVTnV_g,2.0
68,ZldPK8MYIX4,2.0
68,L4PlKgTHwuU,2.0
68,_G7Cn_68LCY,2.0
68,EWZqR4qmhug,2.0
68,HfMZvn0w7Ns,2.0
58,-0I9tM4Y_QQ,2.0
58,KwWbgLD7YCY,2.0
58,8gcwhbqViwI,2.0
71,DI9E3A-g9Oc,2.0
63,8vzq4rG5kT8,2.0
67,C44perf4lWk,2.0
75,RCMvkZfeQa4,2.0
75,YGRN2phyM-Q,2.0
75,U4XarSdJhHQ,2.0
90,2y9gnabz-K0,2.0
90,cIR9r4-QeGE,2.0
90,NlGBOUlOkGU,2.0
97,YuxBxhxQpXE,2.0
97,RCMvkZfeQa4,2.0
96,poQWVXwGVD4,2.0
96,cIR9r4-QeGE,2.0
96,OB_nNRmH5y0,2.0
96,CZSu5RwQFLU,2.0
119,2UBwXNTFDE8,2.0
122,tXa15fvPzU4,2.0
128,OpMd6y5ohpQ,2.0
128,G_ImWPbN8UY,2.0
128,SMlBtvUfrXQ,2.0
128,2UBwXNTFDE8,2.0
133,YGRN2phyM-Q,2.0
136,EDXcJdLoMMo,2.0
138,z3Z0gYt6YXo,2.0
